,index,frequency
861,(Cl)cc,135
862,o2),134
863,c2cc(O)c(O)c(O)c2),134
864,[O-].[,134
865,C3(C)CC,134
866,cnc5,133
867,OC1OC(CO)C(O)C(O)C1O),133
868,OC(CO)C(O)C(O)C1O,133
869,OC[C@H]2,133
870,CC[C@@H]3,133
871,C[C@H]3,133
872,s1,132
873,c2cc1,132
874,O[C@H]1C(O)C(O)C(O)[C@@H](O),132
875,OCC2OC(,132
876,CCC12C),132
877,CCc1cc,132
878,C=C2,132
879,c2c(O)cc(O),131
880,[C@H](N)C(=O)O,131
881,OCCOCC,131
882,Cc1cc(,131
883,CCCN2,131
884,C(OP(=O)(O)O)[C@@H](OP(=O)(O)O),131
885,(C(=O)OC,131
886,c3c2=O),130
887,c1c(O)cc(O),130
888,CC=C(C),130
889,CC1),130
890,/N,130
891,c3cc2,129
892,CCCCCC=CCC=CCCCCCCCCCCC,129
893,C[C@@H]2,129
894,+].,129
895,(O)(,129
896,c(O)c1,95
897,CCCCCCCCCCCCCCCCCC(=O),128
898,CC5,128
899,=CCC=CCCCCC,128
900,[C@H]1CC[C@H]2[C@@H]3,127
901,[C@H](O)C(C)(C),127
902,Oc2,127
903,C[C@H](N),127
904,C(=O)OC1,127
905,c3ccc(O)cc3),126
906,Fe,126
907,CCCCCC=CCC=CCC=CCCCCC(=O),126
908,CCCCC1,126
909,/C=C/C=C(C)/C=C/,125
910,c3c(O)cc,124
911,c2=O),124
912,C=CCCCCCCCCCCCCCCC,124
913,O[C@@H](C),123
914,CCCCCCC=CCCCCCCCCC,123
915,C(N)=O),123
916,(OC),123
917,c3c(=O)c2,122
918,CCC/C=C\,122
919,C(O)C2,122
920,=S),122
921,nn,121
922,c4cc(O)cc(O),121
923,c(C=O),121
924,Oc1cc(O),121
925,C(=O)N[C@H](,121
926,[C@H]4O)[C@H]3CC(C)=O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4,120
927,OC1CC3C4,120
928,OC(CO)C(O)C(O)C5O),120
929,C1(C),120
930,5(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)O4)O3)[C@H]2O)[C@H](O)[C@H]1,120
931,(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]5(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)O4)O3)[C@H]2O)[C@H](O)[C@H]1,120
932,](=O)(O),119
933,Nc1ncnc2c1ncn2,119
934,CC[C@H]4,119
935,C(OC(C)=O),119
936,Oc1ccc(,118
937,CCCNC(=N)N),118
938,C2=O),118
939,C(C)=O,118
940,O[C@H](COC(=O)CCCC,117
941,OC(COC(=O),117
942,O=C(N,117
943,NC1=O,117
944,CCCCCCCCC=CCCCCCCCCCCCCC,117
945,CC(C)(,117
946,C1CC,117
947,c(C3,116
948,O[C@H](C(=O)O)[C@@H](O)[C@H](O),116
949,COc1ccc(-,116
950,[C@@H]3O),115
951,O[C@H]1C(O)C(O)C(OP(=O)(O)O)[C@@H](OP(=O)(O)O),115
952,OC(=O)/C=C/,115
953,CC[C@]12,115
954,CCN1,115
955,CC23,115
956,CCO),115
957,/C=C/C=C/,115
958,ccn,114
959,c(=O)[nH]1,114
960,[C@H](N)C(=O)O),114
961,[C@@]1(O),114
962,CC=CCCCCCCCC,114
963,C6OC6OC(CO)C(O)C(O)C6O),114
964,C(O)CC1,114
965,ccc3,113
966,Oc3,113
967,COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1,113
968,CCC(=O)O[C@H](COC(=O)CCCCCCCC,113
969,CC1=C(C),113
970,CC(C)=CCc1,113
971,C8O),113
972,C2(C),113
973,C(C)(C)C),113
974,OCO,112
975,CCCCCCCCC=CCC=CCC=,112
976,CCCCCCCCC=CCC=CCC=CCCC,112
977,C23,112
978,/C(C)=C\,112
979,c1-,111
980,OC=CCCCCCCC,111
981,CCCCN),111
982,CCC5(C)C4CCC3(C),111
983,oc3,110
984,cc5,110
985,c-,110
986,SCCNC(=O)CCNC(=O)C(O)C(C)(C),110
987,C(=O)N1CCC[C@H]1,110
988,4(C)C3,110
989,(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1,110
990,c4ccc(O)c(O)c4),109
991,COP(=O)(O)OC,109
992,CC[C@@]2(C),109
993,CCCCCCC)OC(=O)CCCCCCCC,109
994,C(C)=,109
995,-],62
996,c1ccc(-,108
997,c(C(=O)O),108
998,Oc2cc3,108
999,N(C)C),108
1000,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC[C@H](C,108
1001,C(C(=O)O),108
1002,[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO),107
1003,OCC1OC(OC2,107
1004,OC(O),107
1005,CCCCCCCCC)OC(=O)CCCCCCCC,107
1006,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC[C@H](C,107
1007,C7OC7,107
1008,/C(=C/,107
1009,cc(C,106
1010,c1c(C),106
1011,c7,106
1012,[C@H](O)[C@@H](O)[C@@H]1O,106
1013,NCCC,106
1014,CC(C,106
1015,C(=O)OCC(C,106
1016,(OC1),106
1017,cc3),105
1018,[C@@H](NC(=O),105
1019,NCCCC,105
1020,CC(C)=CCCC(C),105
1021,C/C(=C\,105
1022,c(O)cc(O)cc3,104
1023,O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O),104
1024,C=CC(=O),104
1025,C(=O)[O-],104
1026,OC(=O)CCCCCCCC=CCCCCCCCC,103
1027,CC[C@H]2[C@@H]3,103
1028,CC(C)(C,103
1029,C1C2C,103
1030,c3O),102
1031,[Na+].,102
